age,gender,platform,ifPrivacy
4,Female,CrowdWorks,1
4,Other,Prolific,1
3,Female,CrowdWorks,1
4,Female,CrowdWorks,1
2,Male,Prolific,0
3,Male,CrowdWorks,0
3,Male,Prolific,0
3,Other,CrowdWorks,1
3,Female,Prolific,0
3,Male,CrowdWorks,1
3,Female,Prolific,0
5,Female,CrowdWorks,1
1,Male,Prolific,0
3,Male,CrowdWorks,1
4,Male,CrowdWorks,1
2,Male,Prolific,1
2,Female,CrowdWorks,1
3,Male,Prolific,1
3,Female,CrowdWorks,1
3,Female,Prolific,1
2,Other,CrowdWorks,1
4,Other,Prolific,1
5,Male,CrowdWorks,1
2,Female,Prolific,1
3,Male,CrowdWorks,1
2,Female,Prolific,0
3,Male,CrowdWorks,1
4,Male,CrowdWorks,1
1,Male,Prolific,1
2,Female,CrowdWorks,1
5,Female,Prolific,0
3,Female,CrowdWorks,1
3,Male,Prolific,1
5,Female,CrowdWorks,0
3,Female,Prolific,1
3,Male,CrowdWorks,1
2,Male,Prolific,1
5,Female,CrowdWorks,1
2,Female,CrowdWorks,1
2,Male,CrowdWorks,1
3,Male,CrowdWorks,1
1,Female,Prolific,1
4,Female,CrowdWorks,1
3,Female,Prolific,0
3,Male,CrowdWorks,1
1,Female,Prolific,1
3,Male,CrowdWorks,1
4,Male,Prolific,1
3,Female,CrowdWorks,0
2,Male,Prolific,1
2,Female,CrowdWorks,1
2,Female,Prolific,1
5,Male,CrowdWorks,1
5,Male,Prolific,0
3,Female,CrowdWorks,1
5,Other,Prolific,0
3,Male,CrowdWorks,1
4,Male,Prolific,0
2,Female,CrowdWorks,1
4,Female,Prolific,0
2,Female,CrowdWorks,1
1,Male,Prolific,1
4,Male,CrowdWorks,1
1,Male,Prolific,0
3,Female,CrowdWorks,0
2,Male,Prolific,1
1,Male,CrowdWorks,1
1,Male,Prolific,1
4,Male,CrowdWorks,0
3,Male,Prolific,1
3,Other,CrowdWorks,1
1,Female,Prolific,1
2,Male,CrowdWorks,1
3,Male,Prolific,0
5,Male,CrowdWorks,1
3,Female,Prolific,0
1,Female,CrowdWorks,1
3,Female,Prolific,0
3,Male,CrowdWorks,1
2,Male,Prolific,0
2,Male,CrowdWorks,1
2,Female,Prolific,1
4,Female,CrowdWorks,1
2,Female,Prolific,0
2,Female,CrowdWorks,1
4,Male,Prolific,0
3,Male,CrowdWorks,1
3,Male,Prolific,0
3,Female,CrowdWorks,1
4,Male,Prolific,0
1,Female,CrowdWorks,1
2,Male,Prolific,1
1,Male,CrowdWorks,1
1,Male,Prolific,0
4,Female,CrowdWorks,1
3,Female,Prolific,1
4,Other,CrowdWorks,0
3,Female,Prolific,1
4,Female,CrowdWorks,1
3,Female,CrowdWorks,1
1,Female,Prolific,1
3,Female,CrowdWorks,1
5,Male,Prolific,1
3,Female,CrowdWorks,1
2,Female,Prolific,1
5,Female,CrowdWorks,1
4,Male,Prolific,1
3,Male,CrowdWorks,1
4,Male,Prolific,1
3,Other,CrowdWorks,0
1,Female,Prolific,1
4,Female,CrowdWorks,1
4,Male,Prolific,0
3,Male,CrowdWorks,1
3,Male,Prolific,0
2,Male,CrowdWorks,1
3,Male,Prolific,1
2,Male,CrowdWorks,1
3,Male,Prolific,1
3,Male,CrowdWorks,1
3,Female,Prolific,1
4,Female,CrowdWorks,1
3,Male,Prolific,1
2,Male,CrowdWorks,0
1,Male,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
4,Female,CrowdWorks,0
2,Male,Prolific,1
2,Other,CrowdWorks,1
4,Other,Prolific,1
3,Female,CrowdWorks,1
5,Male,Prolific,0
2,Female,CrowdWorks,1
3,Male,CrowdWorks,1
2,Male,Prolific,0
4,Male,CrowdWorks,1
2,Female,Prolific,1
2,Male,CrowdWorks,1
5,Female,Prolific,0
4,Male,CrowdWorks,1
3,Female,Prolific,1
4,Male,CrowdWorks,1
3,Female,Prolific,0
5,Male,CrowdWorks,1
4,Male,Prolific,0
3,Male,CrowdWorks,1
3,Male,Prolific,0
5,Female,CrowdWorks,1
1,Male,Prolific,0
5,Male,CrowdWorks,1
4,Male,Prolific,0
3,Female,CrowdWorks,1
5,Male,Prolific,0
5,Female,CrowdWorks,1
2,Male,CrowdWorks,1
2,Other,Prolific,1
3,Female,CrowdWorks,1
3,Male,Prolific,0
4,Male,CrowdWorks,1
5,Female,Prolific,1
3,Male,CrowdWorks,1
3,Male,CrowdWorks,1
4,Male,Prolific,0
3,Female,CrowdWorks,1
5,Female,Prolific,0
4,Male,CrowdWorks,1
1,Female,Prolific,1
3,Female,CrowdWorks,1
5,Other,Prolific,0
4,Male,CrowdWorks,1
3,Female,Prolific,1
5,Female,CrowdWorks,1
2,Other,Prolific,1
3,Male,CrowdWorks,1
2,Male,Prolific,0
2,Male,CrowdWorks,1
2,Male,Prolific,1
3,Female,CrowdWorks,1
3,Female,Prolific,0
3,Male,CrowdWorks,1
3,Female,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
1,Female,CrowdWorks,1
4,Male,Prolific,0
4,Male,CrowdWorks,1
4,Other,Prolific,0
3,Male,CrowdWorks,1
5,Female,Prolific,0
1,Male,CrowdWorks,1
2,Male,Prolific,1
4,Female,CrowdWorks,1
2,Female,Prolific,1
4,Male,CrowdWorks,1
4,Male,Prolific,0
2,Male,CrowdWorks,1
5,Female,Prolific,1
4,Male,CrowdWorks,1
5,Male,Prolific,1
4,Female,CrowdWorks,1
4,Male,Prolific,1
4,Female,CrowdWorks,1
2,Male,Prolific,1
4,Female,CrowdWorks,1
5,Male,Prolific,0
4,Male,CrowdWorks,1
2,Female,Prolific,0
2,Female,CrowdWorks,1
2,Other,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,1
3,Female,CrowdWorks,1
3,Male,CrowdWorks,1
1,Female,Prolific,1
3,Other,CrowdWorks,1
4,Other,Prolific,0
2,Female,CrowdWorks,1
1,Male,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
3,Male,CrowdWorks,1
3,Female,CrowdWorks,1
5,Male,Prolific,0
4,Male,CrowdWorks,1
2,Female,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
3,Female,CrowdWorks,1
2,Female,Prolific,0
4,Male,CrowdWorks,1
3,Female,Prolific,0
2,Female,CrowdWorks,1
4,Female,Prolific,1
3,Female,CrowdWorks,1
1,Female,Prolific,1
3,Male,CrowdWorks,1
1,Female,Prolific,1
1,Female,CrowdWorks,1
1,Male,Prolific,1
3,Female,CrowdWorks,1
4,Other,Prolific,0
4,Male,CrowdWorks,1
1,Female,Prolific,1
3,Female,CrowdWorks,1
2,Female,Prolific,0
4,Female,CrowdWorks,1
2,Male,Prolific,1
1,Female,CrowdWorks,1
3,Female,Prolific,0
3,Male,CrowdWorks,0
3,Female,Prolific,1
5,Female,CrowdWorks,1
2,Male,Prolific,1
2,Female,CrowdWorks,1
5,Female,Prolific,0
3,Male,CrowdWorks,1
3,Male,Prolific,1
4,Male,CrowdWorks,1
2,Female,Prolific,1
3,Male,CrowdWorks,1
5,Female,Prolific,0
4,Female,CrowdWorks,1
5,Male,Prolific,0
2,Female,CrowdWorks,1
4,Male,Prolific,0
3,Male,CrowdWorks,1
2,Female,CrowdWorks,1
4,Male,Prolific,0
2,Female,CrowdWorks,1
5,Male,Prolific,0
2,Male,CrowdWorks,1
4,Male,CrowdWorks,1
1,Male,Prolific,1
5,Male,CrowdWorks,0
2,Female,Prolific,1
5,Male,CrowdWorks,1
5,Male,Prolific,1
3,Female,CrowdWorks,0
3,Male,Prolific,1
1,Male,CrowdWorks,1
1,Male,Prolific,0
2,Female,CrowdWorks,0
3,Female,Prolific,1
2,Female,CrowdWorks,1
4,Male,Prolific,0
3,Female,CrowdWorks,1
3,Male,Prolific,0
2,Female,CrowdWorks,1
4,Female,Prolific,0
3,Female,CrowdWorks,1
5,Female,CrowdWorks,1
4,Male,CrowdWorks,1
2,Male,Prolific,1
5,Male,CrowdWorks,1
2,Female,Prolific,1
4,Female,CrowdWorks,1
5,Male,Prolific,0
2,Female,CrowdWorks,1
3,Male,Prolific,1
4,Male,CrowdWorks,1
4,Female,Prolific,1
5,Male,CrowdWorks,1
4,Male,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
5,Female,CrowdWorks,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
5,Female,CrowdWorks,1
3,Female,Prolific,1
2,Female,CrowdWorks,1
2,Other,Prolific,1
3,Female,CrowdWorks,0
2,Female,Prolific,1
5,Male,CrowdWorks,1
5,Male,Prolific,1
2,Female,CrowdWorks,1
5,Female,Prolific,0
5,Male,CrowdWorks,1
3,Female,Prolific,0
3,Male,CrowdWorks,1
5,Male,CrowdWorks,1
4,Male,Prolific,0
4,Male,CrowdWorks,1
3,Female,Prolific,0
3,Female,CrowdWorks,1
2,Other,Prolific,0
3,Male,CrowdWorks,1
4,Male,Prolific,1
4,Male,CrowdWorks,1
4,Female,Prolific,0
3,Male,CrowdWorks,1
3,Male,Prolific,0
4,Female,CrowdWorks,1
2,Male,Prolific,1
2,Male,CrowdWorks,1
3,Male,Prolific,0
2,Female,CrowdWorks,1
3,Female,Prolific,0
2,Male,CrowdWorks,1
3,Female,Prolific,1
4,Male,CrowdWorks,1
3,Male,Prolific,1
3,Female,CrowdWorks,1
1,Female,Prolific,0
4,Male,CrowdWorks,1
3,Female,Prolific,0
2,Female,CrowdWorks,1
1,Male,Prolific,1
4,Male,CrowdWorks,1
5,Male,Prolific,0
4,Female,CrowdWorks,0
2,Male,Prolific,1
2,Female,CrowdWorks,0
3,Male,Prolific,1
3,Female,CrowdWorks,1
5,Other,Prolific,1
1,Female,CrowdWorks,1
2,Female,CrowdWorks,1
4,Male,Prolific,1
4,Female,CrowdWorks,0
4,Male,Prolific,1
4,Male,CrowdWorks,0
3,Male,Prolific,1
3,Female,CrowdWorks,1
3,Female,Prolific,0
3,Male,CrowdWorks,1
3,Female,Prolific,1
5,Male,CrowdWorks,0
2,Female,Prolific,1
3,Female,CrowdWorks,1
4,Female,CrowdWorks,0
4,Male,Prolific,1
5,Female,CrowdWorks,1
2,Female,CrowdWorks,1
2,Female,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
3,Male,CrowdWorks,1
3,Male,Prolific,0
2,Male,CrowdWorks,1
2,Female,Prolific,0
3,Female,CrowdWorks,1
5,Other,Prolific,0
3,Female,CrowdWorks,1
3,Male,Prolific,1
4,Female,CrowdWorks,1
2,Male,Prolific,1
4,Female,CrowdWorks,1
2,Female,Prolific,1
3,Female,CrowdWorks,1
4,Other,Prolific,0
4,Female,CrowdWorks,1
2,Male,Prolific,0
3,Male,CrowdWorks,0
1,Female,Prolific,1
4,Female,CrowdWorks,1
2,Male,Prolific,1
4,Male,CrowdWorks,1
1,Female,Prolific,1
4,Female,CrowdWorks,0
3,Male,Prolific,1
2,Male,CrowdWorks,1
5,Female,Prolific,0
3,Female,CrowdWorks,0
1,Female,Prolific,0
3,Female,CrowdWorks,0
5,Male,Prolific,0
1,Female,CrowdWorks,1
1,Male,Prolific,1
4,Female,CrowdWorks,1
5,Male,Prolific,1
4,Female,CrowdWorks,0
1,Male,Prolific,1
4,Male,CrowdWorks,0
1,Female,Prolific,1
4,Male,CrowdWorks,1
4,Female,Prolific,0
3,Male,CrowdWorks,0
3,Male,Prolific,1
4,Male,CrowdWorks,1
3,Female,Prolific,1
3,Male,CrowdWorks,1
1,Male,Prolific,1
4,Male,CrowdWorks,1
1,Female,Prolific,1
1,Male,CrowdWorks,1
3,Female,Prolific,0
1,Male,CrowdWorks,1
2,Male,Prolific,1
3,Male,CrowdWorks,1
2,Male,Prolific,1
5,Male,CrowdWorks,1
3,Female,Prolific,0
4,Female,CrowdWorks,1
2,Female,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
3,Male,CrowdWorks,1
3,Male,Prolific,1
3,Male,CrowdWorks,1
2,Female,Prolific,1
5,Female,CrowdWorks,1
5,Female,CrowdWorks,1
1,Male,Prolific,0
3,Other,CrowdWorks,1
2,Male,Prolific,1
4,Male,CrowdWorks,1
1,Female,Prolific,1
4,Male,CrowdWorks,1
3,Female,Prolific,0
5,Male,CrowdWorks,1
5,Male,Prolific,0
3,Male,CrowdWorks,1
3,Female,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
5,Female,CrowdWorks,0
3,Female,Prolific,1
2,Male,CrowdWorks,1
1,Male,Prolific,1
4,Male,CrowdWorks,1
3,Male,Prolific,0
4,Male,CrowdWorks,1
5,Male,Prolific,1
3,Male,CrowdWorks,1
3,Female,CrowdWorks,1
4,Other,Prolific,1
3,Female,CrowdWorks,1
3,Male,Prolific,1
4,Male,CrowdWorks,1
4,Female,Prolific,0
2,Female,CrowdWorks,1
4,Male,Prolific,1
4,Male,CrowdWorks,1
4,Female,Prolific,0
2,Male,CrowdWorks,1
1,Male,Prolific,0
2,Male,CrowdWorks,1
2,Female,Prolific,0
5,Female,CrowdWorks,1
1,Male,Prolific,1
3,Male,CrowdWorks,1
1,Male,Prolific,0
2,Female,CrowdWorks,1
2,Female,CrowdWorks,1
3,Female,Prolific,1
2,Male,CrowdWorks,1
2,Female,Prolific,0
4,Male,CrowdWorks,1
5,Male,Prolific,1
4,Male,CrowdWorks,1
3,Female,Prolific,0
3,Female,CrowdWorks,1
2,Male,Prolific,0
2,Female,CrowdWorks,1
4,Female,Prolific,0
4,Male,CrowdWorks,1
5,Female,Prolific,1
2,Male,CrowdWorks,1
3,Male,Prolific,1
1,Male,CrowdWorks,1
2,Male,Prolific,1
3,Male,CrowdWorks,1
2,Male,Prolific,1
2,Female,CrowdWorks,1
4,Female,Prolific,0
3,Female,CrowdWorks,1
2,Male,Prolific,0
4,Female,CrowdWorks,0
4,Other,Prolific,1
3,Female,CrowdWorks,0
1,Male,Prolific,1
2,Male,CrowdWorks,1
5,Female,Prolific,0
3,Male,CrowdWorks,1
2,Female,Prolific,0
3,Male,CrowdWorks,0
3,Male,Prolific,1
3,Female,CrowdWorks,1
2,Female,Prolific,1
2,Female,CrowdWorks,1
3,Male,Prolific,1
5,Male,CrowdWorks,1
4,Male,Prolific,1
3,Male,CrowdWorks,1
4,Male,Prolific,1
3,Male,CrowdWorks,1
5,Female,Prolific,1
3,Male,CrowdWorks,1
1,Female,Prolific,0
4,Male,CrowdWorks,1
5,Female,Prolific,0
3,Female,CrowdWorks,0
2,Male,Prolific,1
3,Female,CrowdWorks,1
5,Female,Prolific,0
1,Female,CrowdWorks,1
4,Male,CrowdWorks,1
4,Female,Prolific,0
3,Male,CrowdWorks,1
1,Male,Prolific,1
4,Female,CrowdWorks,1
2,Male,Prolific,0
1,Male,CrowdWorks,1
2,Male,Prolific,1
3,Male,CrowdWorks,1
1,Male,Prolific,1
4,Male,CrowdWorks,1
3,Female,CrowdWorks,0
2,Male,Prolific,1
4,Male,CrowdWorks,1
2,Male,Prolific,1
2,Female,CrowdWorks,1
3,Male,Prolific,0
5,Male,CrowdWorks,1
2,Female,Prolific,1
3,Male,CrowdWorks,1
1,Male,Prolific,1
4,Female,CrowdWorks,1
2,Male,Prolific,1
5,Male,CrowdWorks,1
4,Male,Prolific,0
4,Male,CrowdWorks,1
4,Male,Prolific,1
1,Male,CrowdWorks,0
2,Male,Prolific,1
2,Other,CrowdWorks,1
4,Other,Prolific,0
3,Male,CrowdWorks,1
2,Male,Prolific,1
5,Male,CrowdWorks,0
3,Female,Prolific,1
2,Female,CrowdWorks,1
3,Male,CrowdWorks,1
1,Female,Prolific,0
5,Male,CrowdWorks,1
4,Other,Prolific,1
4,Male,CrowdWorks,1
4,Male,Prolific,0
2,Female,CrowdWorks,1
4,Female,CrowdWorks,1
2,Male,Prolific,0
2,Female,CrowdWorks,1
4,Male,CrowdWorks,1
2,Male,Prolific,0
5,Female,CrowdWorks,1
1,Female,CrowdWorks,1
3,Female,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,1
4,Male,CrowdWorks,1
2,Female,Prolific,1
4,Male,CrowdWorks,1
2,Female,Prolific,0
5,Male,CrowdWorks,1
4,Other,Prolific,0
2,Female,CrowdWorks,1
4,Male,CrowdWorks,1
1,Male,Prolific,0
4,Male,CrowdWorks,1
3,Male,CrowdWorks,1
3,Male,Prolific,1
4,Female,CrowdWorks,0
5,Male,Prolific,1
3,Male,CrowdWorks,1
3,Female,Prolific,0
3,Female,CrowdWorks,1
3,Male,Prolific,0
2,Male,CrowdWorks,1
2,Female,Prolific,1
4,Female,CrowdWorks,1
2,Female,Prolific,1
2,Male,CrowdWorks,1
1,Male,Prolific,0
3,Female,CrowdWorks,0
1,Male,Prolific,1
3,Male,CrowdWorks,1
2,Female,Prolific,1
2,Male,CrowdWorks,1
2,Female,Prolific,0
2,Male,CrowdWorks,1
2,Male,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,1
3,Female,CrowdWorks,1
2,Male,Prolific,1
3,Male,CrowdWorks,1
5,Female,Prolific,0
3,Female,CrowdWorks,1
3,Male,Prolific,0
2,Female,CrowdWorks,1
2,Other,Prolific,1
4,Male,CrowdWorks,1
4,Male,CrowdWorks,1
5,Female,Prolific,1
2,Female,CrowdWorks,0
4,Male,Prolific,1
5,Male,CrowdWorks,1
4,Male,Prolific,0
4,Male,CrowdWorks,1
3,Male,Prolific,0
5,Male,CrowdWorks,1
3,Female,Prolific,0
3,Male,CrowdWorks,1
1,Female,Prolific,1
4,Male,CrowdWorks,1
4,Male,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
2,Male,CrowdWorks,1
3,Male,Prolific,1
2,Male,CrowdWorks,0
2,Female,Prolific,1
4,Female,CrowdWorks,1
1,Male,Prolific,0
5,Male,CrowdWorks,1
5,Male,Prolific,0
3,Female,CrowdWorks,0
1,Male,Prolific,1
3,Male,CrowdWorks,1
3,Male,Prolific,0
3,Female,CrowdWorks,1
5,Female,Prolific,1
1,Female,CrowdWorks,1
4,Male,Prolific,0
2,Female,CrowdWorks,1
3,Female,Prolific,0
5,Male,CrowdWorks,1
4,Male,Prolific,0
4,Female,CrowdWorks,1
3,Male,Prolific,0
3,Male,CrowdWorks,0
3,Male,Prolific,1
2,Male,CrowdWorks,1
5,Female,Prolific,0
3,Female,CrowdWorks,1
4,Female,Prolific,1
3,Female,CrowdWorks,1
2,Female,Prolific,1
4,Male,CrowdWorks,1
4,Female,Prolific,0
4,Female,CrowdWorks,0
2,Male,Prolific,1
4,Male,CrowdWorks,1
2,Male,Prolific,1
4,Female,CrowdWorks,1
2,Female,Prolific,0
3,Male,CrowdWorks,1
5,Female,Prolific,1
4,Female,CrowdWorks,1
2,Male,Prolific,0
3,Female,CrowdWorks,0
5,Male,Prolific,0
3,Female,CrowdWorks,1
2,Female,Prolific,1
3,Female,CrowdWorks,1
5,Male,Prolific,0
1,Female,Prolific,1
3,Female,Prolific,1
1,Male,Prolific,1
2,Male,Prolific,1
5,Female,Prolific,1
2,Other,Prolific,1
5,Female,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Male,Prolific,1
2,Other,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
5,Female,Prolific,1
5,Other,Prolific,1
1,Female,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Male,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
5,Female,Prolific,1
2,Other,Prolific,1
3,Female,Prolific,1
5,Male,Prolific,0
3,Female,Prolific,1
3,Male,Prolific,1
3,Female,Prolific,1
1,Female,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
2,Other,Prolific,1
3,Other,Prolific,1
3,Other,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Male,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Other,Prolific,1
3,Male,Prolific,1
3,Male,Prolific,1
3,Female,Prolific,1
3,Male,Prolific,1
3,Other,Prolific,1
1,Female,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Female,Prolific,1
3,Other,Prolific,1
3,Male,Prolific,1
